Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0
26.979561569244044	35.163970491832856	23.299968390078053	28.864602274918628	4.793886654946827	16.108595461864354	11.75585656510727	11.642674429417083
26.51142331782024	32.7677241411167	22.30270729393196	25.07404383612394	4.910350722243005	15.349315755825529	10.639141978189576	11.106574530285975
24.32549690599784	30.704602374732392	21.775440647035143	22.857546461868186	4.905219235341632	14.43598337963454	9.003689589570815	10.476520156788157
21.257744083073224	29.32085361270112	20.79324883442069	22.0916373543842	4.8526503762204145	13.030455127169636	7.801156795405312	9.040044933314094
17.88002780333619	26.611798109759984	18.95353481202705	21.338797635196567	4.8256810121081015	11.17911610210727	6.5179396350962655	7.632926690207514
14.931125283871792	22.482731066830365	16.36571002173068	20.13973361974804	4.864164839935341	8.4635344954023	4.949495237614866	6.954009158106174
12.919129885735	18.56374948061924	14.162248081970745	18.312273803808047	4.931490348601688	5.642758653792768	4.39733143641831	6.049604490244332
12.0236808160635	15.3878380588233	12.648845662186863	16.213333965942866	4.9819037024389585	3.86529490510419	4.347681707085247	5.003960199744447
12.14928138181108	14.233385138159566	12.628761850183404	13.820326857437642	4.992060264180256	3.7991272382851218	4.375329298306677	4.34381839437818
12.762254863094189	13.658413101257496	12.4538426873005	12.630947777931572	4.978886247274047	3.891985228454194	4.403372224729546	4.179557979476906
12.490194092833136	12.235903506530205	12.945818500476058	12.517760116672152	4.960179511258271	4.034390052303992	4.394314254026888	4.105229288390036
11.186492136433634	11.418640938469698	12.825418065233553	12.940017929852289	4.938968168406193	4.176273015446328	4.3495814683674086	4.095425964685129
9.171324493415796	10.8960773481105	13.387525145793148	13.18891052806563	4.917748858490863	4.290353774360586	4.299916826897281	4.143090137210248
8.142315809829324	12.028806799693818	13.431475640863557	13.501317372433167	4.907984084681964	4.395463202352854	4.304831727880766	4.2481347230658555
8.253652798903307	12.413285698317091	13.437425743261771	13.760894386397876	4.916942606975782	4.520312408544596	4.394775502727033	4.404621396662642
8.526430192342993	12.194109049158683	12.861511106913726	13.764121184079816	4.9352021739276175	4.664475206353228	4.565921691714766	4.581123003499778
8.411723534679018	11.834469201633668	11.292508545257515	15.600493950629897	4.9595888516963464	4.806672612769854	4.769392549587613	4.750343821506681
9.27237463299393	12.737164791532638	10.293557158153758	17.376979579997396	4.984891582612656	4.916786270321158	4.945384945223175	4.885961152999031
10.87989071542507	14.308552339782684	10.692230516008468	17.81335340436246	4.98555507945424	4.979215759850704	5.055572968740141	4.968544431042881
12.50985457618452	16.39941029086373	11.519898671052308	18.083521861434456	4.979376360892988	5.002782546693312	5.100399231791651	4.999370735805282
13.961869572458664	18.13877694492195	12.143973173420235	18.24327049700125	4.961327342757635	5.005998826952163	5.103200165033359	4.985417115255712
15.031439545450205	19.18768548034412	12.454402108141268	18.185048264561463	4.935809135706657	5.00508228405229	5.0881354651552515	4.946170547385186
15.51252980063338	20.13550208579976	12.889593467642166	17.383695961787648	4.914885828437337	4.9986379956057	5.066158538926672	4.905040983615837
15.734155176985428	21.75692802553235	13.23107547359376	16.885639684292865	4.899619790899615	4.980852882815154	5.038864119901738	4.885418113724674
16.82660097522686	22.128812838083	13.668512357430885	17.820908417843167	4.89800688290246	4.956914688977084	5.002144837716271	4.894021233011856
17.58242767973731	23.85169296875789	14.112743155965036	18.75068573893456	4.889564848427059	4.939751397223167	4.960468789311763	4.92327289566522
18.101543600373848	26.115936179412685	15.179954922293335	18.83075722521022	4.887894874718342	4.932926654492843	4.921642658980484	4.959687611774604
17.847332657605357	27.36114676724563	16.302817814801955	19.13419447828389	4.88688632659027	4.935420874081909	4.896036355773293	4.9961647043420045
18.964170369192864	27.75818231713317	17.6873748554712	19.62086864535744	4.881140798896584	4.935787975397203	4.881659297931637	5.012380580976674
19.50443008598516	27.738670300698413	18.18329972566384	19.515638628205085	4.874897576351533	4.93739482002052	4.878160492894451	5.023992406347561
