Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0	Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	T1_A0	T2_A0	T3_A0	T4_A0	T1_A2	T2_A2	T3_A2	T4_A2	T1_A1	T2_A1	T3_A1	T4_A1
1.2747028342058282	1.1375898185544313	1.323329944542642	1.523527722763429	1.5098153569684478	1.427320988685126	1.3618779697749697	1.390847422695502	2.794185967006406	2.258578040651819	2.513862090414841	2.917179971484689	110.9813513501829	225.22024104890687	1.3618779697749697	1.3908474226955019	9.875882248861648	4.373058321602193	4.338790883873288	4.338790883873288
1.285015399987439	1.144797434341473	1.326662642612518	1.5281457689384688	1.4976865376952353	1.4209583777340282	1.3484205836537784	1.3788365230212296	2.7592264974741423	2.243294099991211	2.5226167689277053	2.939493362035286	110.20210854897499	231.97113271694533	1.3484205836537784	1.3788365230212296	10.487547760225372	4.37968185785689	4.358121625964012	4.358121625964012
1.29625258096439	1.1522402835982293	1.3290647797081612	1.5296730515071846	1.48560197969923	1.4152973978482728	1.3366988874530998	1.3681800546564564	2.7306290719566846	2.232694698132576	2.535227963894584	2.962177048601628	108.32157914438316	243.76271229760667	1.3366988874530998	1.3681800546564564	10.721805690910676	4.371151962615737	4.3780194499886	4.3780194499886
1.307280784483395	1.1598170922853075	1.331518281316168	1.5279964284885172	1.475034329932703	1.4093113068367722	1.3283350333640156	1.3608877287905	2.709271288891376	2.227029118200916	2.55117314238012	2.983233091890499	106.01797836143841	155.8413650633795	1.3283350333640156	1.3608877287905	10.612363390981946	4.368178811267811	4.3921048786644805	4.3921048786644805
1.3170972118860222	1.1673739586026164	1.3349350748927211	1.5237966897650668	1.467172132021519	1.402163002579781	1.324691202711463	1.3580235175607065	2.6950858880625543	2.2257329975380147	2.571840225278597	3.001790190914118	103.21245514193254	297.33295328578225	1.324691202711463	1.3580235175607063	11.003662489032152	4.3538238199686266	4.395906892483196	4.395906892483196
1.324840491492763	1.1747693707055933	1.3405034904412998	1.5183555830865605	1.4626026436868225	1.394107581864899	1.326253556433258	1.359319190171458	2.686752803619314	2.228796022155023	2.5880484517348776	3.0194824705056944	101.89538271571223	416.8154050961447	1.326253556433258	1.359319190171458	10.363407135186025	4.344392600626933	4.384639934085969	4.384639934085969
1.330307047278405	1.181929896478905	1.349258493896514	1.5134498238472245	1.4612197486280936	1.3865270883410263	1.332462701733281	1.3632926421163063	2.682062320958755	2.23539336274138	2.605941474675205	3.0340653859637183	100.27632705175573	297.007687792791	1.332462701733281	1.3632926421163065	10.437791477249688	4.338492210719752	4.36424866268947	4.36424866268947
1.3334561320126743	1.1887494312040756	1.3620811857736086	1.510889643904786	1.4623375595085584	1.3810345640196906	1.3416376319356709	1.3678789251388537	2.67717215197308	2.2448078012293378	2.621487256281537	3.047048226767057	97.17810479836868	886.4270064581782	1.3416376319356709	1.3678789251388537	10.47640297061024	4.340488165954435	4.339557099721316	4.339557099721316
1.3349582695749207	1.1950676732710404	1.3780003996948542	1.5120515122480285	1.464956620313554	1.3788266496031734	1.3511243047976542	1.3713107213855558	2.6681772390758502	2.2561484867395145	2.6341418545617667	3.0541063407340743	94.95793761064498	232.9403752985182	1.3511243047976542	1.3713107213855558	9.940472989311274	4.352208876870478	4.300166462969411	4.300166462969411
1.3356490085983734	1.200403089541641	1.3960788804615702	1.5175935777991447	1.4681892988998384	1.380688855894736	1.3587553555679726	1.3729462668707677	2.6524607295072102	2.268986358652468	2.643009352689407	3.054200100442232	93.51741864284931	410.40831214678474	1.3587553555679726	1.3729462668707677	10.0179936773477	4.371614161577715	4.267945908765626	4.267945908765626
